Country,Wave,A170,A173,B008,F034,F050,E217,E220,E046,E035,C037
Albania,4,5.165330661,6.002072539,1.562570462,1.372774869,0.917277487,NA,NA,5.823529412,5.959390863,2.036326942
Albania,3,4.765357503,4.732012513,1.570608496,1.59937565,0.936983471,NA,NA,5.122129436,4.880041365,NA
Algeria,4,5.674546887,6.655258765,1.965980304,1.777310924,0.997659906,NA,NA,NA,8.088818398,NA
Algeria,6,6.30102916,6.664944014,1.708163265,1.165406427,1,7.623978202,5.339370829,NA,6.548824593,NA
Andorra,5,7.13559322,7.724550898,1.229524772,1.673673674,NA,6.515453639,6.157894737,NA,6.143574297,2.97005988
Azerbaijan,6,6.740518962,7.273453094,1.671013039,1.725548902,0.99500998,8.264471058,4.998003992,NA,5.888223553,NA
Azerbaijan,3,5.392766174,5.611111111,1.56002265,1.126448894,0.977937404,NA,NA,3.76703645,5.897222222,NA
Argentina,4,7.298895899,7.393415638,1.710997442,1.186938776,0.962875197,NA,NA,5.276182432,4.899112187,2.277557494
Argentina,2,7.253024194,7.254149378,NA,1.305931322,0.921187308,NA,NA,5.295116773,7.005154639,NA
Argentina,5,7.700502513,7.857142857,1.306034483,1.227557411,NA,NA,NA,NA,5.328542094,2.123092574
Argentina,1,6.770020534,7.050732807,NA,1.383116883,0.887353879,NA,NA,NA,NA,NA
Argentina,6,7.476470588,7.377601586,1.4312026,1.391393443,0.900497512,7.210898083,6.339776195,NA,4.746680286,NA
Argentina,3,6.926579926,7.090384615,1.704612365,1.20398482,0.952112676,NA,NA,5.23923445,5.955534532,NA
Australia,3,7.582638548,7.58242843,1.419909045,1.461997019,0.801041667,NA,NA,5.071251856,5.595061728,NA
Australia,6,7.382352941,7.806716929,1.394085282,1.699042408,0.675190048,7.569863014,4.090909091,NA,4.732550104,NA
Australia,1,7.894779772,7.101485149,NA,1.464941569,0.849781659,NA,NA,NA,NA,NA
Australia,5,7.304255319,7.687766714,1.326545455,1.587731812,NA,6.84807418,5.245538901,NA,5.668583753,2.712536023
Bahrain,6,6.794314381,6.876677852,1.516624041,1.222793488,NA,6.822445561,6.670568562,NA,6.462673611,NA
Bangladesh,4,5.7775524,5.652950311,1.459694989,1.031295488,0.994645248,NA,NA,8.672648959,7.560283688,1.577732519
Bangladesh,3,6.406145625,6.323358271,1.582755966,1.161137441,0.986184211,NA,NA,8.093103448,7.106500692,NA
